run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,average_seeds,average_peers,info_hash,trackers_count,loss,redownloads
1,39.42178,55.67655216284987,2638157,0.6895674300254453,0.6997455470737913,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
2,93.004986,26.954026968716292,2638157,0.6105717367853291,0.6181229773462783,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
3,25.791068,83.31021011673151,2638157,0.7042801556420234,0.7159533073929961,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
4,31.314002,69.08271794871796,2638157,0.6730769230769231,0.6858974358974359,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
5,31.186904,65.11565273311898,2638157,0.6334405144694534,0.6527331189710611,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
6,117.021785,21.487126820908312,2638157,0.5886889460154242,0.5946872322193659,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
7,39.115921,53.56371025641025,2638157,0.7128205128205128,0.7230769230769231,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
8,186.265034,11.34677436725902,2638157,0.14485729671513192,0.21217016693591814,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
9,122.048632,17.388906327033688,2638157,0.21117502054231718,0.31306491372226786,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
10,82.93082,28.41884522370012,2638157,0.33978234582829503,0.35792019347037485,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,8060
