run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,average_seeds,average_peers,info_hash,trackers_count,loss,redownloads
1,26.894393,72.79967164179105,2638157,0.8097014925373134,0.832089552238806,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
2,24.963027,62.1694297188755,2638157,0.963855421686747,1.0120481927710843,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
3,17.746771,95.12953672316384,2638157,0.7062146892655368,0.751412429378531,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
4,23.470008,65.19539316239316,2638157,0.782051282051282,0.811965811965812,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
5,15.440846,104.01772077922078,2638157,0.6688311688311688,0.7142857142857143,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
6,18.257178,115.10118131868133,2638157,0.7307692307692307,0.7692307692307693,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
7,122.55881,20.95146644844517,2638157,0.9574468085106383,0.9738134206219312,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
8,98.625627,25.893629704984743,2638157,0.9471007121057986,0.9664292980671414,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
9,93.358665,27.79796670247046,2638157,0.9441460794844253,0.966702470461869,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
10,65.790542,31.028309451219513,2638157,0.9222560975609756,0.9435975609756098,b'\x8e\\\xe8\x9a\xe5+\xef\xbc\xd7\x1c\xc9\x0e\x1a\x11\xa6\xd6u\xc1\xd7q',None,0.0,0
