run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,all_finished_time_seconds
1,12.245429,81.74990243902438,2638157,12.245627
2,12.245474,81.74990243902438,2638157,12.245627
3,12.245496,81.74990243902438,2638157,12.245627
4,12.245517,81.74990243902438,2638157,12.245627
5,12.245537,81.74990243902438,2638157,12.245627
6,12.245557,81.74990243902438,2638157,12.245627
7,12.245576,81.74990243902438,2638157,12.245627
8,12.245594,81.74990243902438,2638157,12.245627
9,12.245612,81.74990243902438,2638157,12.245627
10,12.245627,81.74990243902438,2638157,12.245627
